phrasalVerb,example
run for,Inflation is running at 3%.
run for,Ivy runs up the walls of the house.
run for,I’d love to run in the London Marathon.
run for,"I’ll run you there, it’s no trouble."
run for,Jackson announced his intention to run for president.
run for,John kindly offered to run me into town.
run for,My laptop can run off the mains or a battery.
run for,Our thoughts seem to run along the same lines (=we think the same).
run for,Sue’s been running a mail-order business for ten years.
run for,Tears were running down his face.
run for,The Rhine runs into the North Sea.
run for,The bus company runs a regular airport shuttle service.
run for,The contract only has another couple of months to run.
run for,The curtains run on these tracks.
run for,The race will be run at 3 pm.
run for,The shelter is run entirely by volunteers.
run for,The software will run on any PC.
run for,The text ran something like this: ‘Don’t mess with our business!’
run for,The thought that she might be lying ran through my mind.
run for,The train only runs at weekends.
run for,The train was running twenty minutes late.
run for,The truck ran down the hill and into a shop window.
run for,There was a path running through the middle of the forest.
run for,There will be three candidates running against her.
run for,Ticket prices were running anywhere from £50 to £200.
run for,Try running the program again and see if it works.
run for,We know of several groups who are running guns into the country.
run for,We ran for shelter as soon as the rain started.
run for,You could run the cable behind the desk.
run for,You’ll have to run if you want to catch the bus.
run for,a soap opera that has been running for many years
run for,a spreadsheet package that runs under Windows or Unix
run for,expenses involved in running a car
run in,"A nurse should only run in cases of fire or haemorrhage... Behind, McCain was coming at a walk."
run in,"After yet another run-in with Danny Jenkins at school, she had turned to her older brother for advice."
run in,"But after the previous night's run-in on the bridge, I felt a more personal interest in the case."
run in,"He didn't wait for any questions, but said immediately, `Dad warned me he'd told you about the - the run-in I had with Mr Mortlake."
run in,His ground-floor unit allowed him to run in place without the fear of disturbing a neighbor.
run in,"I had planned to visit you, but a trial run in your atmosphere out there-- ""The smile had become rueful."
run in,"The current assignment is really in the nature of a run-in for you, but now that you're back in harness I shall have other uses for you."
run in,"`You see, all men here believe wanderer's blood to run in their veins."
run into,A truck ran into me (=hit my car) at the lights this morning.
run into,Flood damages could run into millions.
run into,"For some part of her, a part she'd lost touch with, wanted to run into his arms."
run into,I had had no trouble forgiving Lyle herself for this affair which had already run into difficulties by the time I met her.
run into,IT WAS the first time Bob had run into any trouble underwater.
run into,Our project ran into difficulties when we lost a sponsor.
run into,"She wasn't wearing a bra, but she did not expect to run into anyone who would care."
run off,"At the end, after a series of run-off votes, Antony beat one of the local men by ten votes to six."
run off,One day he taught him a song about a young woman who had run off to sea with a band of desperate pirates.
run off,She'd come too far to turn and run off now with her tail between her legs.
run off,The resulting decline in beaver dams had meant there was nothing to stop the run-off of rainwater from the mountains.
run off,"The sand was strewn with debris from the margin of the rocks to the water's edge, and the waves themselves dyed with the run-off mud."
run off,Their dad ran off when they were little.
run off,This channel allows rainwater to run off.
run off,"To add insult to injury, she had run off with the very pot she had cheated to give to Reno."
run off,"Well, I've offered my assistance and more or less got told to run off and play with myself."
run off,Would you mind running off some more copies of the agenda?
run off with,A man in the street approached her and ran off with her bag.
run off with,They said Phil had run off with his wife’s best friend.
run on,I hope this meeting doesn’t run on too long.
run out,"Luck which could continue indefinitely, or run out at any time."
run out,Many hospitals are running out of money.
run out,My contract runs out next July.
run out,"Nevertheless, the money wouldn't last for ever, and then his luck would run out."
run out,"She desperately wanted to hold her son just once more, but after the endless hours of waiting she had run out of time."
run out,"The boys I knew when I was young and the men I've known since then... ""I run out of steam."
run out,They returned home from South Africa when their money ran out.
run out,When does your passport run out?
run out of,Many hospitals are running out of money.
run out of,My contract runs out next July.
run out of,They returned home from South Africa when their money ran out.
run out of,When does your passport run out?
run out on,"He had tried to argue with her and had said, `You can't run out on my wife and me like that!"
run out on,I had never once expected to be run out on a rail by a supposed superior who was less of a police officer than I was in every way.
run out on,Jane’s husband ran out on her when their children were still young.
run out on,"Unlike, by inference, Edwin's elder brothers, the twins who had simply run out on the whole caboodle."
run out on,"When she had run out on the road to show it to Josh Killian who took the mail out to the settlement, the confrontation was guaranteed."
run over,A 12-year-old girl is brought in with multiple injuries after being hit by a car and run over by a bus.
run over,A founder who is too influential can get run over by a bus and the value is diminished overnight.
run over,"A learner driver ran over and killed her three-year-old son, an inquest has been told."
run over,A thin person could adopt a child and be run over by a bus.
run over,An internal review also ran over time?
run over,"And this is after our traffic was calmed, because a neighbour's child was run over."
run over,And what - here we go again - if he got run over by a bus?
run over,Both drivers ran over the leopard's legs.
run over,But that one was like getting run over.
run over,But what if I go through the cold sweats and the bad temper and the weight gain and then get run over by a bus?
run over,He selected an unexciting backline which likes to run over people.
run over,I couldn’t stop running it over in my mind.
run over,"Inside, it must look like a lemon that's been run over by a bus."
run over,It was an idyllic existence but it came to an end in 1926 when her father was run over by a bus.
run over,It's just like being run over as opposed to dying in a plane crash.
run over,Keeley was run over by a car outside her house.
run over,Largely because the middle-class children have all run over to one side of it.
run over,"Oh, it's just a little something my driver ran over on the way here."
run over,She kept running over her lines.
run over,"Sorry I’m late, the meeting ran over."
run over,"Taking nearly three years to make, it was a lavish production for its time and ran over budget."
run over,"The cost of visiting a family member twice a day, or appointments running over time causes extra stress."
run over,The driver had earlier run over and injured a British soldier as he drove at high speed towards the runway.
run over,The first was that I was very nearly run over by a bus outside an outdoor equipment shop.
run over,"Then the truck backed up and ran over him again, crushing him under its front wheel."
run over,"These storylines have been, er, run over a million times before."
run over,"Two fifths of parents have witnessed their children being almost run over on their way to or from school, according to a survey for a transport charity."
run over,"When the van owner attempted to stop the car, the driver ran over and killed him."
run over,Would you run over the sequence of events again?
run through,And it seems that failure is a theme running through the series.
run through,"As he talks, I do a mental run-through of my acquaintances and conclude that he is without doubt the most boring man I have ever met."
run through,But let's quickly run through some of those numbers again.
run through,"Despite years in the world of luvvies, a sharp workingclass strain still runs through Horrocks."
run through,Do you want me to run through the details with you?
run through,Enter your symptoms and the site will run through a series of questions and answers to elicit what may be wrong with you before suggesting advice.
run through,Fear ran through the crowd as a shot was heard.
run through,He was the constant thread that ran through England's performance yesterday.
run through,"Here, we run through a list of what's on offer."
run through,I had decided to run through the service myself in the afternoon to make sure all the bugs were worked out.
run through,I hit a perfect shot and I still ran through the green.
run through,I was introducing one of the performances so I had to get there a bit early for a practice run through.
run through,In the open spaces the requirement is not simply for one man to run through or around another.
run through,I’ll just run through the names and make sure everyone’s here.
run through,Let’s just run through the piece one more time.
run through,On either side of the clear stream that still ran through it stood mysterious mounds overgrown with grass and some reconstructed Viking dwellings.
run through,The V&A is also running through the list of important but lesser known influences on art and design.
run through,The project ran through £50 million in the first year.
run through,The river still runs through it.
run through,The speed with which she ran through her list of subjects would not have disgraced a bank chairman anxious to catch the Ascot train.
run through,The story line running through the series tells of their life together and the number of times she has to come to his aid.
run through,The theme of jealousy runs through a lot of her work.
run through,The third thread which runs through this list of concepts stands more as an observation on them.
run through,There was a lot of bitterness running through their conversation.
run through,"We faxed it up to the FBI for a run-through, but you know they'll take their time."
run to,"And then again, she wants to back away quietly and run to where her friends are waiting in a car by the kerb."
run to,Aren’t you a little old to run home to your mother?
run to,Copper ran to its highest in nearly two months.
run to,Everybody was running to help push.
run to,Family members said she appeared to have been running to help her husband.
run to,Final scenes show his pal and a cop running to try to help him as he dies on the ground.
run to,Frantic locals ran to help but he died before paramedics arrived.
run to,Her mother also ran to the scene after hearing her screams.
run to,His facility in this department also ran to hilarious rhyming speeches to be performed at birthday parties and other celebrations for friends.
run to,I don’t think we can run to a new television at the moment.
run to,"I managed to get away and ran to my mother's and that was it, we were over."
run to,I saw people running to crowd around the place whence the shouting had come.
run to,If that happened now players would probably cry or go running to the chairman or their agent.
run to,It's another example of a public service run to suit the staff rather than serving the public who are footing the bill.
run to,Just don't go running to it for a cuddle.
run to,Long Run is probably still running to the same rating as last year.
run to,Motorists called the emergency services as others ran to look for the girl.
run to,Pakistan added only 35 runs to their overnight total and were bowled out for 247 before lunch.
run to,Perhaps now she can run to a tin of tomatoes and some meatballs too.
run to,She is now running to become American president.
run to,So I was relaxed as we got to the last ball and still needed a run to win.
run to,The Chancellor has been running to stand still as headwinds from globalisation blast the poorest.
run to,The cost of repairs ran to £2 million.
run to,The interview transcripts run to over 120 pages.
run to,The plant is in the running to also build the entire car.
run to,We could well see a decent run to the year-end now.
run to,We need to go on a run to climb the league.
run to,You also need to run to spot a mismatch.
run to,You don't go running to them.
run up,All they've got to do is run up the past records on a computer.
run up,"Anyway, in the run-up to the fête, I was on occasion thrown into the company of Mrs Mipchin, and, as I say, she proved useful."
run up,"He went the complete length, turned, and paused for the final run-up."
run up,I can run up a pair of curtains in a day.
run up,"Muscles like horses, all of them, but they can hardly run up a flight of stairs."
run up,"On the other two, run-up days and recording days, he kept sober."
run up,"Wet with sweat, and almost naked like this, he looked like he'd just run up the beach."
run up,"When we lived at Woodhouse you used to run up the lane to that cottage called The Nook, where the old blacksmith lived."
run up,`To negotiate the details of an agreement in the immediate run-up to an election takes all negotiating flexibility away from you.
run up against,England ran up against a formidable opponent last Saturday.
run up against,We ran up against a few problems finding enough money.
run with,A cat ran across the road in front of me.
run with,A chill ran through me (=I suddenly felt frightened).
run with,A mountain range runs parallel to the western border.
run with,Blood ran from a wound in her leg.
run with,Crying had made her mascara run.
run with,Dad offered to run me a bath.
run with,Do the buses run on time?
run with,Does your car run on petrol or diesel?
run with,Don’t leave the car engine running.
run with,Fred ran his fingers gently through her hair.
run with,He was the man who ran Clinton’s election campaign.
run with,He’s running the 100m.
run with,His back was running with sweat.
run with,His thoughts ran to the first time he had met Matilda.
run with,How long did the film run for?
run with,How many candidates are running?
run with,How quickly can you run a mile?
run with,I ran a sink full of cold water.
run with,I ran the dishwasher even though it wasn’t full.
run with,I ran to the door and opened it.
run with,"In a fit of jealousy, he ran a key down the side of Greg’s car."
run with,Inflation is running at 3%.
run with,Ivy runs up the walls of the house.
run with,I’d love to run in the London Marathon.
run with,"I’ll run you there, it’s no trouble."
run with,Jackson announced his intention to run for president.
run with,John kindly offered to run me into town.
run with,My laptop can run off the mains or a battery.
run with,Our thoughts seem to run along the same lines (=we think the same).
run with,Sue’s been running a mail-order business for ten years.
run with,Tears were running down his face.
run with,The Rhine runs into the North Sea.
run with,The bus company runs a regular airport shuttle service.
run with,The contract only has another couple of months to run.
run with,The curtains run on these tracks.
run with,The race will be run at 3 pm.
run with,The shelter is run entirely by volunteers.
run with,The software will run on any PC.
run with,The text ran something like this: ‘Don’t mess with our business!’
run with,The thought that she might be lying ran through my mind.
run with,The train only runs at weekends.
run with,The train was running twenty minutes late.
run with,The truck ran down the hill and into a shop window.
run with,There was a path running through the middle of the forest.
run with,There will be three candidates running against her.
run with,Ticket prices were running anywhere from £50 to £200.
run with,Try running the program again and see if it works.
run with,We know of several groups who are running guns into the country.
run with,We ran for shelter as soon as the rain started.
run with,You could run the cable behind the desk.
run with,You’ll have to run if you want to catch the bus.
run with,a soap opera that has been running for many years
run with,a spreadsheet package that runs under Windows or Unix
run with,expenses involved in running a car
rush around,I’ve been rushing around shopping all day.
rush into,I swore to myself I wouldn’t rush headlong into another romance.
rush into,Try not to rush into a decision you may later regret.
rush out,The publishers rushed out a paperback edition of the book.
rush through,But the big banks have claimed the recovery could be wrecked if his plans are rushed through too quickly.
rush through,Sports chiefs have noted the way the Government rushed through special changes to Sunday trading laws in time for the summer.
rush through,Spurs have increased their offer for the West Brom youngster and hope to rush through the deal today.
rush through,The legislation had been rushed through parliament.
rush through,The way it was rushed through is a complete disgrace.
rush through,Transfer deadline day is a time when managers scramble to free up funds by shipping out fringe players before rushing through deals to strengthen their squads.
rush through,"When something is rushed through, they tend to make bad laws."
rustle up,"""I suggested Lucy take him down by the riverbed in hopes he can rustle up something for dinner that isn't one of my prize-winning koi."
rustle up,"If I recommend you and if you can rustle up a cheque for three months"" rent in advance I'm pretty certain I can fix it for you."
rustle up,I’ll see if I can rustle up some lunch.
rustle up,"`I can rustle up a pretty decent Chinese meal, you know,' he said."
rustle up,`I'll see if I can get that old buzzard downstairs to rustle up some black coffee.
saddle with,The company was saddled with a huge debt last year.
sail through,She sailed through the first interview.
sail through,The bill sailed through parliament on a 26 to 5 vote.
sail through,The full moon ends all the doubts and an important deal should sail through.
sail through,"You have the determination you need, and unexpected cooperation, so delayed deals should sail through."
salt away,One explanation might be that he had money salted away in the Low Countries.
save on,Keep your showers short to save on water.
save on,Using eco-friendly light bulbs will help you save on electricity bills.
save up,I’m saving up for a new car.
save up,She spent all the money I had saved up for our trip.
save up,You save up the tokens to get a prize.
savour of,He disapproved of anything that savoured of discrimination.
saw at,Rick was sawing at the piece of chicken with his penknife.
saw off,He sawed off a piece of meat from the bone.
saw up,They were busy sawing up the logs into two-foot lengths.
scale back,The US gas operations are being scaled back until the price improves.
scale back,The search operation has been scaled down.
scale back,"Unable to get the precious scales back, he demanded to see the governor."
scale back,a scaled-down peacekeeping force
scale down,The search operation has been scaled down.
scale down,a scaled-down peacekeeping force
scale up,An order this size means scaling up our production capacity.
scare away,The attacker was scared away when the woman started to scream.
scare away,The city’s high murder rate has scared away tourists.
scare away,Under Wulfgar's guidance the crops had been tended regularly and young boys set with slings to scare away the birds and beasts.
scare into,Many people have been scared into buying organic food.
scare off,The attacker was scared away when the woman started to scream.
scare off,The city’s high murder rate has scared away tourists.
scare up,I put down the phone and then headed out to the kitchen to see if there was anything I could scare up for dinner.
scoop up,People arriving early scooped up fantastic bargains.
scoop up,Ralph scooped up a handful of dirt.
scoop up,The child flung her arms around him as he knelt to scoop her up.
scoot over,"If I scoot over a little, there’s room for you."
score off,Why does she constantly try to score off her sister?
score out,Score through the guests’ names as they arrive.
scout out,He asked her to scout out job opportunities for him while she was in Dallas.
scrape by,She just manages to scrape by on her teacher’s salary.
scrape in,The new candidate scraped in by a tiny one-vote margin.
scrape into,The team scraped into the final with a 2–1 win.
scrape through,I think he’ll just scrape through the entrance exam.
scrape together,They have trouble even scraping together their rent.
scrape up,They have trouble even scraping together their rent.
screen off,Part of the hall had been screened off as a waiting room.
screen out,Cycle masks are designed to screen out pollutants.
screw over,I decided to screw him over by stealing his test and changing all the answers.
screw up,Divorce doesn’t have to screw your children up.
screw up,He made a bad decision that screwed up his entire life.
screw up,"I really screwed up this time, didn’t I?"
screw up,I’m trying to screw up enough nerve to ask her a favour.
screw up,Several pages had been screwed up and tossed in the basket.
screw up,Sometimes a physical change like that can screw up your cycle.
screw up,"The name is a classic Ellis Island screw-up, Italian by way of Hungary."
scrub out,We finished scrubbing out the inside of all the cupboards.
scrub up,"He scrubs up well, don't you think?"
seal in,The tomatoes are then heated to seal in the juices.
seal off,"He just takes another identity and moves on, knowing the real so-and-so-Eric Shivers, Alan Palmer-will seal off the trail."
seal off,Police sealed off the area so that the investigations could begin.
seal up,The furniture is covered and the doors are sealed up with tape.
search out,People need to search out the treatments that work best for them.
section off,Section off the room before you start.
see about,Can you see about getting us a lift home?
see about,He fought back tears as he said: 'I saw about half of the cliff face collapse.
see about,"He says that, as a counsellor, he sees about three times more women than men."
see about,He's like one of those men one sees about after the races.
see about,I must go and see about this job.
see about,"Inspired by the mid-century furniture they favour, some of their own clock designs can be seen about the house."
see about,She wants to borrow my car for the weekend but we’ll have to see about that.
see about,These nationwide street parties will see about 1m people take part in a shindig to rival the 1977 jubilee celebrations.
see about,We must have seen about 40 plans of new stadiums for Wimbledon.
see about,We must see about a teacher for you right away.
see around,"I’ve never actually met her, but I’ve seen her around."
see around,What a beautiful house! I’d love to see around it.
see in,"I don’t know what you see in him, I think he’s boring."
see in,I thought I saw a glimmer of sympathy in Ben’s eyes.
see in,People can see in from the street.
see in,The ambassador waited on the steps to see the visiting dignitaries in.
see off,Anne saw Terry off at the station.
see off,"He'd see off a few of your chaps, too, before they got to him."
see off,"Richard looked east, as if he could see off into the black of night beyond the dim circle of lantern light."
see off,The England team saw off a tired-looking Poland 3–1.
see off,The dogs will soon see off any burglars.
see off,"`I mean,' he added more politely, `perhaps we should see off Anatollatia first."
see out,He will see out the year remaining on his contract.
see out,I can see myself out.
see out,My secretary will see you out.
see out,These are good strong shoes and they’ll probably see me out.
see through,A good way to see through the fog of war.
see through,"Although I’m really beginning to see through it a little, too."
see through,"And with the clarity that comes with time, they saw through it."
see through,At an airport all of them have to put their liquids in a see-through bag and take off their shoes and their belts and their watches.
see through,"At work, you see through flattery and know who really has your interests at heart."
see through,But you've got to see through that and know that you can turn it around.
see through,"Get your thinking cap on, as all your plans need to be seen through to the end."
see through,"Having come this far, she was determined to see things through."
see through,He told a court he was given the notes in brown envelopes and see-through plastic bags.
see through,It should be completely illegal to show a girl in see-through underwear when she is below the age of consent.
see through,"It was a long and tough fight, which she planned meticulously and saw through to the end."
see through,I’m not fooled that easily. I can see right through you.
see through,Nine tricks and perfectly done - as though he'd seen through the backs of the cards.
see through,She was also dressed in a see-through nightie.
see through,The best thing a government can do to help is to see through necessary improvements to the nation's infrastructure.
see through,The sixth sense that helps you see through people's smiles to their true feelings is switched on.
see through,They had enough food to see them through the winter.
see through,They have previously designed a dancefloor whose lights are powered by moving feet and a dress that turns see-through when the wearer is aroused.
see through,This helps you see through excuses and get the action you need.
see through,Virgin Trains has delayed the introduction of new uniforms after some female staff complained that the blouses were see-through and cut too low.
see through,"We can all see through your little game, Adam."
see through,What I liked about the first series was that it was about a time seen through advertising.
see through,"While some managers make out they give a damn, those they manage may well see through them."
see through,You'd be surprised how forgiving a see-through dress can be.
see to,"His advisers and knights left the room to see to the fort's defence as Madoc entered, his expression grave."
see to,I should have seen to it that she was told.
see to,"You try to get some sleep, I’ll see to the children’s breakfast."
see to,You’d better take her to hospital and get her ankle seen to.
seek out,Corbett resolved to seek out the truth.
seek out,Not I. For I deem it perilous now for mortal man wilfully to seek out the Elder People.
seek out,"Sometimes as he fussed around her, his eyes would suddenly seek out Laura's."
seek out,"They did not seek out the rest of us, nor attack our camp; but instead they went with all speed towards Isengard."
seep away,Their supply of food gradually began to seep away.
seize on,Carpenter is waiting for an opportunity to seize on something useful.
seize on,Companies were quick to seize on the possibilities offered by new technology.
seize up,Her back seized up painfully after she’d lifted the box.
seize up,"If you don’t add oil, the engine will eventually seize up."
sell off,And of course you'll have to sell off the back catalogue
sell off,Most deans don't try to sell off their Cathedral treasures!
sell off,"She might have been prepared for Travis's presence, but she wasn't prepared for the casual suggestion that she sell off her very life."
sell off,"Some of the studios were having a big sell-off, that's where I get a lot of my stuff."
sell off,The company will have to sell off assets to avoid bankruptcy.
sell off,"The monk who took me round made it clear that the Order had fallen on hard times, and the brothers needed to sell off what they could."
sell on,They buy it at a low price and sell it on for a huge profit.
sell out,"But without the reef, people are forced to sell out at rock-bottom prices to pay their debts; a year later Brismand moves in."
sell out,"I went to get some bread, but the shop had sold out."
sell out,"On a hot day, we can sell out of ice cream in an hour."
sell out,Some fans thought she’d sold out to mainstream pop music.
sell out,The tickets had sold out within a few short hours.
sell out,Why are you prepared to sell out your colleagues just to save Graham and Carver?
sell out,"`The difference is I voiced my opinions, I didn't resort to treason and sell out my colleagues to the CIA."
send away,His solicitor was sent away by the security guards.
send away for,I’ve sent away for details of their holiday packages.
send back,"If you’re not happy with it, you can always send it back."
send down,And then I'm going to be spending my weekends writing reports to send down to Window Rock.
send down,Eric was sent down for cheating in examinations.
send down,He’s been sent down for five years for forgery.
send down,The gods would send down vengeance on him and strike him dead.
send down,They split it and soon found themselves outside on the street where the sky was undecided over whether to send down snow or sleet.
send for,"He waited for the Ila, riding within sight of him, to send for him."
send for,I think we should send for a doctor.
send for,In the end we had to send for an ambulance.
send for,I’ve sent for their latest catalogue.
send in,Entry forms must be sent in by December 21.
send in,Government forces were sent in to fight the rebellion.
send in,Keep sending your letters and suggestions in to the BBC.
send in,The Peruvians have assured us they will send in a highly trained security force to control the valley.
send off,And I'd send off two or three flares if you really want a response.
send off,"He had robbed them of a decent send-off, a prolonged farewell."
send off,He was sent off for arguing with the referee.
send off,I must get the parcel sent off tomorrow.
send off,We’ve sent the children off to the zoo for the afternoon.
send out,And you'd also have to send out rejection letters to candidates who aren't chosen for a particular position.
send out,The factory sends out toxic gases into the surrounding countryside.
send out,We sent out 300 invitations to our gallery opening.
send out,We sent out a search party to look for the missing climbers.
send out for,I don’t feel like cooking – let’s send out for a pizza.
send up,"Cutter would send up `trial balloons"", what people in the consumer-products business called test-marketing."
send up,He sends the prime minister up brilliantly.
send up,He was sent up for 10 years.
send up,She would hurry as soon as she was out of sight and run downstairs and perhaps send up one of the attendants.
send up,You may ask Aunt Mathilda and Uncle Titus to send up some food and my bed!
send up,"`The Americans can't send up any planes, can't see their noses."
separate out,The material is processed to separate out the impurities.
separate out,Two main factors separate out this group of children from the others.
serve out,Shall I serve out the potatoes?
serve out,We want you to serve out your full contract.
serve up,Aunt Edie served up a lovely roast leg of lamb for dinner.
serve up,The teams served up some highly entertaining football this afternoon.
set about,Donaghue set about resolving the problem of rehousing the victims.
set about,She set about the problem with her usual energy.
set against,Hers is only one story set against thousands of women who will receive a similar screening result this year.
set against,"The epilogue takes place in a kitchen, where a mother stands beside the table surrounded by chairs, one with crutches set against it."
set against,The rights of the woman and the rights of the unborn child are often set against one another.
set against,They will conclude the existence of the disparity between their successful and enterprising form set against Wales 's failure and uninspiring play.
set against,This season’s results have been disappointing set against last year’s.
set against,"You know your expenses can be set against tax, don’t you?"
set against,a bitter industrial dispute that had set worker against worker
set apart,Graf’s natural athleticism set her apart from other tennis players.
set apart,Several acres of public land have been set apart for recreation.
set apart,"They numbered six, not counting Simon and Charles, both set apart, one by age, the other by character."
set aside,Councils have a duty to identify how many new homes will be needed in their area and set aside suitable land.
set aside,Councils have significant reserves of money set aside against risk and planned proJects.
set aside,Have you set aside some money for your child’s education?
set aside,"He saved seriously for four decades, remembering to increase the sums set aside regularly over time."
set aside,I do think it would be sensible for him to set aside his second job.
set aside,"In addition, these banks have been continually setting aside income to increase their loan loss reserves to cover the losses on this debt."
set aside,Now we have set aside and stewardship schemes where the production of food is secondary to the look of the countryside - all very laudable.
set aside,"Second, farmers have been encouraged to set aside land for biofuel production."
set aside,Set aside a few hours for this task and be prepared to ask yourself some hard questions.
set aside,Set aside and keep warm until ready to serve.
set aside,Set aside and put the halved apple in the cavity.
set aside,Set aside for three hours to absorb the flavours.
set aside,Set aside one half and chop the rest.
set aside,Set aside time to look at plans to make extra money at home.
set aside,The High Court has set aside the lower court’s ruling.
set aside,"The curators have set aside space for examples of Egyptian writing, both literary and ephemeral."
set aside,They agreed to set aside their differences and work together for peace.
set aside,Two days have been set aside for the hearing.
set aside,"Yet nowadays we have an oversupply of some food, which has led to a scheme of set aside when farmers are paid not to produce food."
set aside,You can also set aside definite times for questions.
set aside,You make progress in money talks by setting aside feelings and focusing strictly on the facts.
set aside,Your ability to set aside personal feelings and stay with the facts will help in family talks.
set back,Four years ago he took a knock that could have set back many a weaker character.
set back,"Jim’s new car must have set him back £30,000."
set back,The spending cuts have set the research project back several years.
set back,There will be a few others set back weeks after getting stuck into the ales.
set down,A moment later the old woman came back and set down a big glass of water and a basket of hush puppies.
set down,Emma set down the food on top of a box containing cartons of soap powder.
set down,He set the whole experience down as a failure.
set down,"How many words have I set down on paper or vellum, thinking to trap the truth thereby?"
set down,She set all these events down in her diary.
set down,These conditions were set down by the United Nations.
set down,"Yet something in her voice, an edge of hoarseness, made me set down the cup I'd started to lift."
set forth,And gone forever was the breathless quality of dreams as yet unrealized with which he had hand in hand set forth with her.
set forth,"Frodo passes the Cross-roads, and sees the Morgul-host set forth."
set forth,Quickly he set forth for them all that Maundigand-Klimd had just told him.
set forth,This memorandum sets forth basic departmental policies.
set forth,"the original plan, and set forth warily to sample vicarious parenthood."
set in,He wondered how much of his current unease was due to the forces that had been set in motion by the Letter.
set in,"It was set in the main body of the park reached through a wrought-iron gate, intricately moulded into beguiling patterns."
set in,Let’s get inside – the rain’s set in for the day.
set in,"Most guests were clearly from the Source/ MTV/ Vibe rap set-in town for the upcoming Source Awards, Kim concluded."
set in,"On her fourth finger, left hand, was a clear pink tourmaline set in gold."
set in,"Shortly after the business started, a long economic downturn set in."
set in,"They passed large villas set in their own, almost tropical gardens."
set off,He fears that the election could set off mass protests.
set off,Her plain blue dress was set off by a feather-trimmed hat.
set off,"Jeff pushed open the front door, which set off the alarm."
set off,Just mentioning her father’s death could set her off again.
set off,"Raskin set off at a brisk pace, almost trotting down the wide Steps."
set off,"She rang the door bell, which set off savage barking from all over the house."
set off,"She set off on these trips, often in the small hours of the morning, leaving Peter to the ostensible care of Mickey."
set off,Somebody was setting off fireworks down the street.
set off,We set off early the next morning.
set off,"With great laughter, Mervin, Flora, and I set off in a taxi."
set off against,Claims for expenses can be set off against tax.
set off against,The quality of the facilities must be set off against the cost of using them.
set on,"He was lean and intense, the kind of guy who has his sights set on promotion."
set on,I feel like I've wasted everything that's been set on my table.
set on,Leave now or I’ll set the dogs on you.
set on,The house itself was set on several acres of rolling green hills.
set on,"The lodging was dark, save for a little lantern set on the table."
set out,"After a three-day rest, the travellers set out again."
set out,I let her walk a long way ahead until I could only just make her out and then I set out after her.
set out,In his report he sets out his plans for the department.
set out,"Making an effort to curb her impatience, she set out to explain."
set out,She seemed to be tugging him towards the long tables on which the flower exhibits had been set out.
set out,They set out to build their own house.
set out,"When we set out on this project, we knew it would be difficult."
set out,You deliberately set out to torment another living creature.
set out,street traders setting out their wares
set to,A barnstorming rendition of Lost showed the track is set to become a live classic.
set to,After the party we all set to and cleared everything up.
set to,And what an example he has set to people.
set to,Britain's manufacturing is set to become less competitive on a global scale over the next five years.
set to,CHEESE prices are set to rocket after early spring rain turned grass into mud and slashed milk yields.
set to,Downton is also set to get racier as the show embraces the Roaring Twenties.
set to,Fruit juice prices are set to rise sharply this year.
set to,"He was at the preview, and it's reported that he had a bit of a set-to with Councillor Steel, so that's why I ran him through the computer."
set to,He's also set to rake it in promoting the channel's range of fitness supplements.
set to,"History, geography and modern languages are set to become compulsory in school until pupils reach 16 in sweeping changes to the national curriculum."
set to,It is also set to propose a 22 per cent dividends boost in April.
set to,"It was a vicious and raucous set-to, beaks stabbing, wings thrashing and, as he watched it played out, he had his question answered."
set to,Many packed into nearby pubs to begin celebrations set to last long into the night.
set to,PIZZA prices are set to soar thanks to big rises in the cost of cheese and tomato puree.
set to,"The Monday after her set-to with Hayes, Nora had shown up at Mark and Lorraine's at dawn."
set to,The civil trial is set to begin tomorrow if a deal cannot be reached.
set to,The example they set to thousands of young people attending mosques out of school hours is of utmost importance.
set to,The full hearing is set to begin on Monday.
set to,The high oil price is set to fuel a six per cent increase in exploration around the world this year.
set to,The stock is set to begin trading on Thursday.
set to,This autumn is also set to be one of the driest on record.
set to,Upside The location is convenient and set to become more so.
set to,What an example to set to their children.
set to,"Why, we had a real set-to, and there were some folk killed, killed dead!"
set up,"After graduation, we decided to set up house together."
set up,"After the war, she set up shop in a quiet Yorkshire town."
set up,But she's a full partner and she and Mr Chambers set up the business together.
set up,"Description, attitude to his job, laid over the set-up at the hotel in Rome."
set up,Have something hot to set you up for the journey.
set up,He sets himself up as some kind of financial expert.
set up,I knew you would be able to read this does sound like a set-up for further correspondence.
set up,I think we should set Ryan up with my cousin.
set up,"I'm sure she needs the money to set up shop, wherever she is."
set up,I’ll set up a meeting for Thursday.
set up,Police have set up a mobile incident unit outside the shop.
set up,Rebels have set up an independent state within the country.
set up,She claims she’s innocent and someone set her up.
set up,She set up camp in the kitchen while they painted the bedroom.
set up,The army set up roadblocks to stop people trying to escape.
set up,The group plans to set up an import business.
set up,The kids are setting up the volleyball net.
set up,The programme will set up a regional library system.
set up,Their negligence set up a chain reaction that resulted in extensive damage.
set up,To her left on an extension of the desk was a computer set-up.
set up,"Voss went in, shook hands with the man and told him to set up his equipment."
set up,We set up camp for the night near the river.
set up,We should be set up to deal with it by the end of the month.
set up,"While the band is setting up, would you check on the food?"
set up,Will you be able to set up my PC?
set up,a plan to set him up as party leader
set up,a privileged kid whose father set him up in business
